Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
262,LIONS BAY/CAULFEILD,North Shore,Mini-Bus,Basic,3000,1000,17.9 km,48 km/h,195,41235,126,99,72,2,78%,371220,5380,Caulfeild; Horseshoe Bay,None,47520.11949,2019,110,47520.11949
280,BLUEWATER/SNUG COVE,North Shore,Mini-Bus,Basic,1000,1000,12.5 km,29 km/h,201,26063,80,55,53,,,296657,4299,Snug Cove,None,21683.47614,2019,111,21683.47614
281,EAGLE CLIFF/SNUG COVE,North Shore,Mini-Bus,Basic,1000,0,6.6 km,22 km/h,212,13389,44,21,22,,,254733,3692,Snug Cove,None,9243.284729,2019,112,9243.284729
282,MT GARDNER/SNUG COVE,North Shore,Mini-Bus,Special,1000,0, km,22 km/h,217,2209,0,18,21,,,22661,328,Snug Cove,None,8266.911801,2019,113,8266.911801
301,NEWTON EXCH/BRIGHOUSE STN,Southwest,Double Decker,Basic,73000,27000,30.8 km,37 km/h,66,1390598,4557,2413,2092,5969,71%,3351913,31036,Newton; Richmond-Brighouse; Scottsdale,Canada Line,84187.73301,2019,114,84187.73301
310,SCOTTSDALE EXCH/LADNER EXCH,Southeast,Mini-Bus,Basic,27000,6000,19.5 km,38 km/h,134,270514,872,486,438,572,88%,828404,12006,Ladner; Matthews; Scottsdale,None,40095.45989,2019,115,40095.45989
311,SCOTTSDALE EXCH/BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited,21000,8000,26.9 km,46 km/h,136,262731,1054,0,0,1070,92%,888457,8226,Bridgeport; Matthews; Scottsdale,Canada Line,82621.81938,2019,116,82621.81938
312,SCOTTSDALE EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Standard,36000,7000,11.9 km,26 km/h,78,1090613,3391,2308,1989,3101,87%,1952681,18080,Scott Road; Scottsdale,Expo/Millennium Line,25087.3545,2019,117,25087.3545
314,SURREY CENTRAL STN/SUNBURY,Southeast,Std. Bus,Basic,60000,17000,9.2 km,22 km/h,109,621970,2008,1207,926,1439,86%,1024466,9486,King George; Surrey Central,Expo/Millennium Line,31756.75586,2019,118,31756.75586
316,SURREY CENTRAL STN/SCOTTSDALE EXCH,Southeast,Std. Bus,Basic,56000,11000,11.6 km,22 km/h,87,954076,2998,2308,1371,2022,79%,1549426,14347,Scottsdale; Surrey Central,Expo/Millennium Line,20498.45202,2019,119,20498.45202
