Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
402,TWO ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Peak Frequent,53000,14000,9.3 km,23 km/h,81,1042956,3347,2015,1645,285,76%,2455301,22734,Richmond-Brighouse; Steveston,Canada Line,17811.31683,2019,153,17811.31683
403,BRIDGEPORT STN/THREE ROAD,Southwest,Std. Bus,Peak Frequent,49000,28000,12.6 km,22 km/h,42,2314979,6865,5762,4796,3566,83%,4253195,39381,Aberdeen; Bridgeport; Lansdowne; Richmond-Brighouse,Canada Line,28081.75511,2019,154,28081.75511
404,FOUR ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Standard,39000,14000,9.6 km,25 km/h,119,450371,1372,984,906,37,83%,1617358,14976,Richmond-Brighouse,Canada Line,18023.08915,2019,155,18023.08915
405,FIVE ROAD/CAMBIE,Southwest,Std. Bus,Standard,58000,36000,19.4 km,27 km/h,99,771892,2476,1541,1190,50,73%,2417260,22382,Knight Street-Marine Drive; Lansdowne; Richmond-Brighouse,Canada Line,49994.92472,2019,156,49994.92472
406,BRIGHOUSE STN/STEVESTON,Southwest,Std. Bus,All Day Frequent,60000,15000, km,26 km/h,49,2101303,6322,4837,4349,1814,79%,4848924,44897,Richmond-Brighouse; Steveston,Canada Line,24561.49752,2019,157,24561.49752
407,GILBERT/BRIDGEPORT,Southwest,Std. Bus,Standard,80000,36000,19 km,24 km/h,65,1402840,4582,2426,2129,473,77%,3414410,31615,Bridgeport; Knight Street-Marine Drive; Richmond-Brighouse; Steveston,Canada Line,53634.64026,2019,158,53634.64026
408,BRIGHOUSE STN/IRONWOOD/RIVERPORT,Southwest,Std. Bus,Peak Frequent,52000,18000, km,23 km/h,53,1769546,5759,3230,2621,2299,81%,3471561,32144,Richmond-Brighouse,Canada Line,24166.4113,2019,159,24166.4113
410,22ND ST STN/BRIGHOUSE STN,Southwest,Std. Bus,All Day Frequent,50000,40000,30.4 km,28 km/h,18,4969190,15443,10630,8938,5836,77%,9353864,86610,22nd Street; Aberdeen; Lansdowne; Richmond-Brighouse,Canada Line; Expo/Millennium Line,66894.85356,2019,160,66894.85356
412,BRIDGEPORT STN/SEA ISLAND SOUTH,Southwest,Std. Bus,Basic,2000,5000,6.7 km,30 km/h,149,160155,624,88,0,30,92%,639962,6683,Bridgeport,Canada Line,15746.46969,2019,161,15746.46969
413,RIVERPORT/STEVESTON,Southwest,Mini-Bus,Basic,32000,7000,12 km,27 km/h,164,127777,394,307,216,37,74%,635868,9161,Steveston,None,23291.63073,2019,162,23291.63073
414,RICHMOND OVAL/BRIGHOUSE STN,Southwest,Mini-Bus,Basic,30000,16000,4.3 km,20 km/h,194,49395,168,141,0,0,86%,266956,3869,Richmond-Brighouse,Canada Line,13082.58091,2019,163,13082.58091
416,EAST CAMBIE/BRIGHOUSE STN,Southwest,Mini-Bus,Peak Only Limited,41000,28000,10.3 km,22 km/h,189,60618,243,0,0,25,75%,322000,4667,Lansdowne; Richmond-Brighouse,Canada Line,22598.42784,2019,164,22598.42784
418,KINGSWOOD/22ND ST STN,Southwest,Std. Bus,Peak Only Limited,10000,6000,10.1 km,33 km/h,153,155151,623,0,0,350,74%,432020,4000,22nd Street,Expo/Millennium Line,25935.67883,2019,165,25935.67883
430,METROTOWN STN/BRIGHOUSE STN,Southwest,Std. Bus,Standard,85000,41000,18.6 km,23 km/h,45,2186136,6815,4691,3807,8858,72%,3485727,32275,Bridgeport; Metrotown; Richmond-Brighouse,Canada Line; Expo/Millennium Line,39051.04642,2019,166,39051.04642
480,UBC/BRIDGEPORT STN,Southwest,Std. Bus,Peak Frequent,36000,30000,18.4 km,28 km/h,84,1011184,4056,0,0,2479,91%,2749774,25461,Bridgeport; Marpole; UBC,Canada Line,46926.00133,2019,167,46926.00133
501,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,63000,49000,24.7 km,29 km/h,50,1799059,5785,3671,2610,3849,77%,4093432,37902,Carvolth; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,71140.29589,2019,168,71140.29589
502,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,61000,32000,18.1 km,25 km/h,33,3209368,9816,7741,5712,5631,78%,6774050,62723,King George; Langley Centre; Surrey Central,Expo/Millennium Line,48838.72727,2019,169,48838.72727
503,ALDERGROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,72000,34000,32.8 km,31 km/h,55,1626978,5051,3593,2840,3391,75%,5043773,46702,King George; Langley Centre; Surrey Central,Expo/Millennium Line,81831.87215,2019,170,81831.87215
509,WALNUT GROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited,55000,19000,21.7 km,34 km/h,173,104440,419,0,0,59,80%,508523,4709,Carvolth; Guildford; Surrey Central,Expo/Millennium Line,58096.46081,2019,171,58096.46081
531,WHITE ROCK CENTRE/WILLOWBROOK,Southeast,Std. Bus,Standard,46000,30000,22.8 km,30 km/h,101,752028,2496,1214,1052,1114,88%,2275000,23751,Langley Centre; White Rock Centre,None,57007.29796,2019,172,57007.29796
555,CARVOLTH EXCH / LOUGHEED STN,Southeast,Std. Bus,Peak Frequent,19000,9000,21.8 km,68 km/h,61,1427553,5018,1891,1246,3744,94%,3136586,29042,Carvolth; Lougheed Town Centre,Expo/Millennium Line,66250.32281,2019,173,66250.32281
560/561,LANGLEY CENTRE/LANGLEY HOSPITAL–BROOKSWOOD,Southeast,Mini-Bus,Basic,38000,11000,10.7 km,26 km/h,158,138662,432,311,240,,,907948,13159,Langley Centre,None,43064.06071,2019,174,43064.06071
562,LANGLEY CENTRE/WALNUT GROVE,Southeast,Mini-Bus,Basic,31000,14000,20.4 km,35 km/h,127,332390,1094,678,399,,,1121074,16143,Carvolth; Langley Centre,None,35752.4965,2019,175,35752.4965
563,LANGLEY CENTRE/FERNRIDGE,Southeast,Mini-Bus,Basic,22000,9000,12.4 km,33 km/h,176,86408,282,179,108,,,470183,6814,Langley Centre,None,27280.55476,2019,176,27280.55476
564,LANGLEY CENTRE/WILLOWBROOK,Southeast,Mini-Bus,Basic,19000,18000,10.8 km,25 km/h,186,63237,195,143,113,,,383991,5565,Langley Centre,None,25336.19167,2019,177,25336.19167
595,MAPLE MEADOWS STN/LANGLEY CENTRE,Southeast,Std. Bus,Standard,25000,20000,16.5 km,31 km/h,108,628766,2032,1165,969,143,81%,1844975,17083,Carvolth; Langley Centre; Maple Meadows,West Coast Express,34557.91785,2019,178,34557.91785
601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT,Southwest,Std. Bus,Peak Frequent,24000,10000,28.7 km,37 km/h,56,1620877,4900,3822,3181,1829,77%,4592387,42522,Bridgeport; Ladner; South Delta,Canada Line,97837.67821,2019,179,97837.67821
602,TSAWWASSEN HEIGHTS/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited,14000,6000,25.8 km,41 km/h,160,129700,520,0,0,26,80%,528102,4890,Bridgeport; South Delta,Canada Line,74921.52692,2019,180,74921.52692
603,BEACH GROVE/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited,18000,6000,14.7 km,34 km/h,180,76149,306,0,0,5,79%,437620,4052,Bridgeport; South Delta,Canada Line,82747.71198,2019,181,82747.71198
604,ENGLISH BLUFF/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited,18000,6000,14.6 km,35 km/h,185,73349,294,0,0,11,83%,369893,3425,Bridgeport; South Delta,Canada Line,82289.62022,2019,182,82289.62022
606,LADNER RING,Southwest,Std. Bus,Peak Only Limited,17000,3000,5.4 km,25 km/h,214,10556,42,0,0,0,92%,112772,1044,Ladner,None,16430.4177,2019,183,16430.4177
608,LADNER RING,Southwest,Std. Bus,Peak Only Limited,17000,4000,4.8 km,25 km/h,213,10603,43,0,0,0,93%,90648,839,Ladner,None,14549.78324,2019,184,14549.78324
609,TSAWWASSEN FIRST NATION/SOUTH DELTA,Southwest,Mini-Bus,Basic,9000,4000,8.1 km,27 km/h,202,25433,76,65,49,0,70%,439605,6371,South Delta,None,14649.33778,2019,185,14649.33778
614,ENGLISH BLUFF/SOUTH DELTA REC CENTRE,Southwest,Mini-Bus,Basic,15000,3000,6.6 km,28 km/h,208,18431,54,47,42,0,86%,185834,2693,South Delta,None,19876.3636,2019,186,19876.3636
616,LADNER SOUTH/LADNER EXCH,Southwest,Mini-Bus,Basic,13000,4000,3.7 km,27 km/h,197,36522,118,79,44,0,94%,186426,2602,Ladner,None,11333.76154,2019,187,11333.76154
617,EAST LADNER/LADNER EXCH,Southwest,Mini-Bus,Basic,8000,1000,2.4 km,23 km/h,203,25212,86,46,23,0,91%,273721,3847,Ladner,None,7189.561602,2019,188,7189.561602
618,LADNER NORTH/LADNER EXCH,Southwest,Mini-Bus,Basic,14000,3000,4.1 km,27 km/h,204,24143,76,61,31,0,87%,195965,2840,Ladner,None,14958.03685,2019,189,14958.03685
619,BOUNDARY BAY/SOUTH DELTA REC CENTRE,Southwest,Mini-Bus,Basic,6000,3000,5.5 km,29 km/h,207,19000,56,53,39,0,88%,172838,2505,South Delta,None,11306.01166,2019,190,11306.01166
620,TSAWWASSEN FERRY/BRIDGEPORT STN,Southwest,Double Decker,Standard,8000,4000,27.7 km,47 km/h,77,1102103,2754,3344,3731,4235,75%,2673448,24754,Bridgeport; Ladner; Tsawwassen Ferry Terminal,Canada Line,74932.59139,2019,191,74932.59139
640,LADNER EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Standard,12000,12000,24 km,38 km/h,85,970548,3296,1411,1170,3058,80%,2671574,24737,Ladner; Scott Road,Expo/Millennium Line,50130.05363,2019,192,50130.05363
701,HANEY/MAPLE RIDGE EAST/COQUITLAM CTRL STN,Maple Ridge/Pitt Meadows,Std. Bus,All Day Frequent,56000,27000,23.3 km,29 km/h,44,2217528,6597,5530,4509,1061,72%,6190945,57324,Coquitlam Central; Haney Place; Maple Meadows; Mission City; Pitt Meadows,Expo/Millennium Line; West Coast Express,119562.0808,2019,193,119562.0808
719/722,MEADOWTOWN/FRASER WAY–BONSON,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,17000,5000,5.8 km,23 km/h,196,40260,150,52,0,0,78%,337058,4885,Maple Meadows; Meadowtown; Pitt Meadows,West Coast Express,18891.80923,2019,194,18891.80923
733,ROCK RIDGE/HANEY PLACE/PORT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,19000,6000,7 km,27 km/h,181,75941,247,139,113,0,89%,492348,7135,Haney Place; Port Haney,West Coast Express,18550.64537,2019,195,18550.64537
